ele;time;name;layer;path;xcoord;ycoord;Conductividad;pH
3777.77002;50:42.0;I10;Waypoints_01-MAR-26 — waypoints;D:/Garmin/GPX/Waypoints_01-MAR-26.gpx|layername=waypoints;-67.2365;-24.0231;0.2;7.71
3733.190674;18:40.0;I11;Waypoints_01-MAR-26 — waypoints;D:/Garmin/GPX/Waypoints_01-MAR-26.gpx|layername=waypoints;-67.2314;-24.0221;0.2;7.59
4321.866699;47:39.0;I12;Waypoints_01-MAR-26 — waypoints;D:/Garmin/GPX/Waypoints_01-MAR-26.gpx|layername=waypoints;-66.5533;-24.1935;0.79;8.78
3798.534912;03:22.0;I01;Waypoints_25-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_25-FEB-26.gpx|layername=waypoints;-67.1799;-26.6939;0.99;7.48
3814.221191;08:04.0;I02;Waypoints_26-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_26-FEB-26.gpx|layername=waypoints;-67.3232;-25.9208;0.18;7.1
3760.122559;16:01.0;I03;Waypoints_26-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_26-FEB-26.gpx|layername=waypoints;-67.3318;-25.9182;;
4252.30127;59:56.0;I04;Waypoints_26-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_26-FEB-26.gpx|layername=waypoints;-67.2271;-25.7585;0.29;8.29
4349.087402;30:30.0;I05;Waypoints_26-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_26-FEB-26.gpx|layername=waypoints;-67.1699;-25.7017;0.22;8.33
4404.17627;17:19.0;I06;Waypoints_26-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_26-FEB-26.gpx|layername=waypoints;-67.142;-25.6887;;
4474.176758;08:27.0;I07;Waypoints_26-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_26-FEB-26.gpx|layername=waypoints;-67.0987;-25.6194;0.21;7.4
4097.483887;37:47.0;I08;Waypoints_26-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_26-FEB-26.gpx|layername=waypoints;-67.0985;-25.5399;0.33;7.83
3806.12207;05:20.0;I09;Waypoints_27-FEB-26 — waypoints;D:/Garmin/GPX/Waypoints_27-FEB-26.gpx|layername=waypoints;-66.6671;-24.6169;4.62;8.43
